127.0.0.1 - - [15/May/2020:17:07:32 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/vue.js HTTP/1.1" 200 342146
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/font.css HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/js/index.js HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/css/index.css HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/bootstrap/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/images/index/clock.png HTTP/1.1" 200 8409
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/lib/axios.js HTTP/1.1" 200 12949
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/js/js-1/click.js HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/css/css-1/hun.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /apeman_store/css/css-1/head.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/ HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/vue.js HTTP/1.1" 200 342146
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/font.css HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/css/index.css HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/bootstrap/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/lib/axios.js HTTP/1.1" 200 12949
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/js/index.js HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/js/js-1/click.js HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/css/css-1/head.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/css/css-1/hun.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /apeman_store/images/index/logo.jpg HTTP/1.1" 200 26666
0:0:0:0:0:0:0:1 - - [15/May/2020:17:07:41 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
