127.0.0.1 - - [19/May/2020:18:59:27 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:28 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:28 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:28 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/jsp/register.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/css/register.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/js/register.js HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/images/time.jpg HTTP/1.1" 200 94764
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/images/password.png HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/images/user_1.png HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:32 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/jsp/register.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/css/register.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/js/register.js HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/images/password.png HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/images/time.jpg HTTP/1.1" 200 94764
0:0:0:0:0:0:0:1 - - [19/May/2020:18:59:40 +0800] "GET /web2/images/user_1.png HTTP/1.1" 200 2277
