127.0.0.1 - - [15/Jun/2020:20:17:17 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:19 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:19 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:19 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:29 +0800] "GET /web2/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:30 +0800] "GET /web2/css/index.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:30 +0800] "GET /web2/images/bgpic.jpg HTTP/1.1" 200 51644
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:31 +0800] "GET /web2/jsp/register.html HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:31 +0800] "GET /web2/css/register.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:31 +0800] "GET /web2/jQuery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:31 +0800] "GET /web2/jQuery/cookie.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:31 +0800] "GET /web2/js/register.js HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:32 +0800] "GET /web2/images/time.jpg HTTP/1.1" 200 94764
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:32 +0800] "GET /web2/images/users.png HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:32 +0800] "GET /web2/images/user_1.png HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:32 +0800] "GET /web2/images/password.png HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "POST /web2/Register HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/jsp/pipe.html HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/css/pipe.css HTTP/1.1" 200 4504
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/js/pipe.js HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/images/beijing1.jpg HTTP/1.1" 200 55653
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/images/bei1.jpg HTTP/1.1" 200 53602
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/images/xuan.ico HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "GET /web2/images/timg1.jpg HTTP/1.1" 200 37101
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:17:42 +0800] "POST /web2/Pipe HTTP/1.1" 200 17580
0:0:0:0:0:0:0:1 - - [15/Jun/2020:20:18:19 +0800] "POST /web2/Pipe HTTP/1.1" 200 10114
